id,text,clause_type,risk_level
CL00047,"The total amount of material World Book makes available for all Affinities shall be no less than sixteen million (16,000,000) Chinese characters. (Page 6) Additionally, the Affinities shall collectively contain at least sixteen thousand (16,000) Articles written in simplified Chinese characters, with an average and median number of words per Article of no less than one thousand (1,000) simplified Chinese characters. (Page 6)",Payment,Low
CL00048,"During the Term of the Agreement, and subject to the following requirements respecting Canadian content levels as set out in paragraphs 3(f), (g) and (h), HCI shall be the exclusive health content partner in the health section of the Sympatico web site, provided however, that nothing contained herein shall prevent MediaLinx from entering into an agreement with other parties for: i) a health based web directory; or ii) other health related content whose content does not compete with the content contained on the Co-Branded Site; which in no event shall receive no more than one fifth (1/5th) of the promotion and which shall constitute no more than one fifth (1/5th) of the total health related content which resides on the home page of the Sympatico Health section. (Page 5) If, at any time during the Term of this Agreement, HCI fails to meet the content requirements set out in paragraphs 3(f), (g) and (h), HCI shall no longer be entitled to be the exclusive health content partner in the health section of the Sympatico web site. (Page 5) HCI shall not either directly or indirectly license or deliver content to or carry on or be engaged with any other Canadian portal web site, being a Web site which aggregates and markets a variety of content directed to multiple communities of interest and which offers products, Source: HEALTHCENTRAL COM, S-1/A, 11/8/1999 tools and services to a broad base of Canadian end users. (Pages 5-6)",Non-Compete & Exclusivity,Medium
CL00049,"CONFIDENTIALITY AND NON-DISCLOSURE AGREEMENT Between ESKOM HOLDINGS SOC LTD And [INSERT NAME OF COUNTERPARTY COMPANY] 1. PARTIES The parties to this Agreement are: 1.1. ESKOM HOLDINGS SOC LTD (""Eskom"") a company incorporated under the laws of the Republic of South Africa, having its registered office at Megawatt Park, Maxwell Drive, Sunninghill Ext. 3, Sandton, Republic of South Africa, with Registration Number 2002/015527/30;",Confidentiality,Low
CL00051,"Neither Party shall transfer, assign or cede any rights or delegate any obligations hereunder, in whole or in part, whether voluntarily or by operation of law, without the prior written consent of the other Party, which consent may be withheld at the other Party’s reasonable business discretion; provided, however, that in connection with a merger, sale or transfer of substantially all of the assets or stock of one of the Parties that Party may provide for the assignee to be bound by the terms hereof. (Page 6)",Assignment & Change of Control,Medium
CL00052,"Bioeq may terminate this Agreement immediately upon written notice to Licensee, if Licensee or any of its Affiliates or sublicensees directly or indirectly challenge the validity or enforceability of, or oppose any extension of or the grant of a supplementary protection certificate with respect to, any Licensed Patent in any legal, court, administrative or other governmental proceeding. (Page 33)",Dispute Resolution,Low
CL00053,"Non-Disclosure Agreement THIS CONFIDENTIALITY DEED is made on 2018 PARTIES (1) Jasmine Technologies Ltd, a company incorporated in England and Wales under number 88338303 whose registered office is 11 Claylands Place London SW8 1NL (Discloser); (2) , a company incorporated in under number whose address is (the Recipient),",Confidentiality,Low
CL00054,"(i) shall treat communications with the other party as confidential and utilise reasonable care in maintaining the confidentiality of communications even if they do not include Information: and (j) shall be liable to the other party for compliance with the terms and conditions of this Agreement, and shall fully indemnify the other party and hold it harmless from damages (including lawyers’ fees and disbursements) incurred as a result of a breach of this Agreement.",Indemnification,Medium
CL00055,"M&I shall cause a third party review of its data processing center, the Operations Center, and related internal controls to be conducted annually by its independent auditors. (Page 18) M&I shall provide without charge to Customer, upon written request, one copy of the audit report resulting from such review. (Page 18)",Audit Rights,Low
CL00056,"This JV Agreement cannot be assigned by a Party, also as a result of the transfer of a business as a going concern, of a merger, of a de-merger or of a spin-off, without the prior written consent of the other Party. (Page 11)",Assignment & Change of Control,Medium
CL00057,"Service Provider shall not, without the prior written consent of Owner, which consent will not be unreasonably withheld or delayed, assign, pledge or transfer all or any part of, or any right or obligation under, this Agreement, whether voluntarily or by operation of law, and any such assignment or transfer without such consent will be null and void; provided, however, that notwithstanding the foregoing, Service Provider may, without the consent of Owner, assign, <omitted> pledge or transfer all or any part of Service Provider’s payment rights under this Agreement (i) to any affiliate of Service Provider, (ii) to any party that acquires Service Provider or all or substantially all of Service Provider’s assets, or (iii) for security purposes in connection with any financing and, provided further, that Service Provider shall remain fully liable for the performance of all of Service Provider’s obligations under this Agreement. (Pages 5-6) Owner shall deliver notice of any such assignment, pledge or transfer to Service Provider in writing as soon as reasonably practicable thereafter. (Page 6)",Assignment & Change of Control,Medium
CL00058,2. NIST shall keep the information confidential and shall use the Proprietary Information only for internal experimental purposes or evaluation of the Proprietary Information. NIST shall not make any copies of the Proprietary Information except as necessary for its employees who are entitled to review it under Section 1 above. Any copies which are made shall be identified as belonging to Discloser and marked as “confidential.”,Confidentiality,Low
CL00059,"Nothing in this AGREEMENT shall be construed to confer any right, privilege or benefit on, or to otherwise create any vested right or third-party beneficiary relationship with any person or entity not a party to the AGREEMENT, unless otherwise provided in this AGREEMENT. (Page 8)",Dispute Resolution,Low
CL00060,"Distributor's appointment as a distributor of the Airspan Products grants to Distributor only a license to resell the <omitted> Airspan Products to Distributor's customers in the Territory, and does not transfer any right, title, or interest in any of the Airspan Software to Distributor. (Page 1) Airspan grants Distributor, and Distributor hereby accepts, a nonexclusive, non-transferable license to use, and to sublicense as set forth below, Software provided by Airspan hereunder only on a single System or unit of Equipment, as may be applicable. (Page 8)",Intellectual Property,Medium
CL00061,"Subject to the other provisions contained herein, this AGREEMENT shall be for a term of thirty (30) years from the Effective Date, which shall automatically renew from year-to-year thereafter unless terminated by a Party upon sixty (60) days’ written notice after the end of the term. (Page 2)",Renewal,Medium
CL00062,"This Agreement sets forth the entire Agreement of the parties hereto, and any and all prior agreements, to the extent inconsistent herewith, are hereby superseded. This Agreement will be governed by the laws of the State of Pennsylvania. (Page 4)",Governing Law,Low
CL00063,"Upon thirty (30) days prior written notice from a Party (the “Auditing Party”), the other Party (the “Audited Party”) shall permit an independent certified public accounting firm of nationally recognized standing selected by the Auditing Party and reasonably acceptable to the Audited Party, to examine, at the Auditing Party’s sole expense, the relevant books and records of the Audited Party and its Affiliates as may be reasonably necessary to verify the accuracy of the reports submitted by the Audited Party in accordance with Sections 3.4(d), 4.1(c) and 4.3(a) and the payment of Promotion Fees hereunder. (Page 39) Upon thirty (30) days prior written notice from an Auditing Party, the Audited Party shall permit the Auditing Party’s external auditors access to any relevant books documents, papers, and records of the Party involving any report delivered pursuant to Sections 3.2(d), 3.4(d) and 4.3(a) of this Agreement and the activities performed under this Agreement, if the other Party has credible evidence that the other Party violated terms of this Agreement, including with respect to Product Training under Section 3(e). (Page 40)",Audit Rights,Low
CL00064,"Nor shall the Company at any time be liable for any incidental, special or consequential damages. (Page 1) IN NO EVENT SHALL COMPANY BE LIABLE FOR ANY INCIDENTAL OR CONSEQUENTIAL DAMAGES AND DISTRIBUTOR'S REMEDIES SHALL BE LIMITED TO REPAIR OR REPLACEMENT OF NONCONFORMING UNITS OR PARTS. (Page 2)",Liability,Medium
CL00065,"KEEP INFORMATION CONFIDENTIAL Buyer acknowledges that any Confidential Information disclosed to others may be damaging to the Business and the Seller. Buyer understands that Confidential Information includes, without limitation: the fact that Business is for sale; financial details; identity of suppliers and customers; and any information not generally known by public. Buyer agrees not to disclose Confidential Information to anyone other than its/his/her advisors and affiliates who both (a) have a need to know the information in connection with the Transaction; and (b) have agreed by signing a copy of this agreement to be bound by the terms of this agreement. Buyer agrees that all copies of materials and data provided to Buyer (and any information derivative of such information) shall also be “Confidential Information”; and all Confidential Information shall be returned to Broker in the event that Buyer decides not to pursue the Transaction. Buyer shall be legally responsible for the actions and omissions of Buyer’s advisors and affiliates.",Confidentiality,Low
CL00066,This agreement will be construed in accordance with the laws of Papua New Guinea and the parties submit to the non-exclusive jurisdiction of the National Court of Papua New Guinea. (Page 37),Governing Law,Low
CL00067,"Neither Party may assign this Agreement without the prior written consent of the other Party; provided, however that either Party may assign in connection with a merger or sale of all or substantially all of its stock or assets, provided the assignee agrees to be bound by all of the terms and conditions of this Agreement. (Page 17)",Assignment & Change of Control,Medium
CL00068,"All such information shall be available for inspection by Erchonia, upon reasonable notice. (Page 1)",Audit Rights,Low
CL00069,"Non-Disclosure Agreement between all affiliated companies of Bomatec Holding AG Hofstrasse 1 CH-8181 Höri - as per attachment, hereinafter referred to as ‘Bomatec’ - and xxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxx xxxxxxxx xxxxxxxxxx including businesses and persons connected with this company - hereinafter referred to as the ‘Business Partner’ -",Confidentiality,Low
CL00070,Neither of the parties hereto may assign its rights or delegate any of its duties under this Agreement without the prior written consent of each other party. (Page 19),Assignment & Change of Control,Medium
CL00072,"Each party will have the right to engage an independent third party to audit the books and records of the other party relevant to the calculation of Retail Impressions or CNET Sales, upon reasonable notice and during normal business hours, and the other party will provide reasonable cooperation in connection with any such audit. (Page 4)",Audit Rights,Low
CL00073,"You will not, at any time during the term of this Agreement or after its termination or expiration, contest the validity or ownership of any of the Marks or assist any other person in contesting the validity or ownership of the Marks. (Page 5) You agree that you will not, at any time directly or indirectly challenge or contest the validity of, or take any action to jeopardize our rights in or ownership of, any of the Marks or any registration of a Mark or any copyrighted work. (Page 25)",Dispute Resolution,Low
CL00074,"Upon the occurrence of any of the following, WGT may terminate the Term by giving Distributor written notice of such termination for: (Page 3) any assignment or attempted assignment of this Agreement by Distributor without the prior written consent of WGT; (Page 3) Distributor will not assign all or any part of this Agreement or any of its rights under this Agreement without the prior written consent of WGT. (Page 10)",Assignment & Change of Control,Medium
CL00075,"NON-DISCLOSURE AGREEMENT The parties to this Agreement are Anonymous Data Corporation (hereinafter ADC) and BATTELLE MEMORIAL INSTITUTE, PACIFIC NORTHWEST DIVISION (hereinafter BATTELLE). Both parties have concluded that the following understanding will establish the conditions under which the Proprietary Information can be disclosed or exchanged.",Confidentiality,Low
CL00076,"1. Non-Disclosure Agreement. (a) All information that is furnished directly or indirectly by the Disclosing Party or any of its Representatives (as defined below), whether or not marked as confidential and whether furnished before or after the date hereof, whether in oral, written or electronic form, together with any notes, reports, summaries, analyses, compilations, forecasts, studies, interpretations, memoranda or other materials prepared by the Receiving Party or any of its Representatives that contain, references to or are based upon, in whole or in part, any information so furnished to the Receiving Party or any of its Representatives pursuant hereto (such notes, reports, summaries, analyses, compilations, forecasts, studies, interpretations, memoranda or other materials are referred to herein as “Derivative Materials”), is referred to herein as “Proprietary Information”. Proprietary Information does not include, however, information that (i) was or becomes available to the Receiving Party on a non-confidential basis from a source other than the Disclosing Party or any of its Representatives, which source the Receiving Party does not know, after reasonable inquiry, to be in violation of any legal duty or obligation owed to the Disclosing Party or any of its Representatives with respect to such information, (ii) was or becomes generally available to the public (other than as a result of a breach by the Receiving Party or its Representatives of this Agreement or a violation by the Receiving Party or its Representatives of any other non-use or confidentiality obligation), (iii) was previously in the possession of the Receiving Party, or (iv) was independently developed by the Receiving Party or any of its Representatives without reference to the",Confidentiality,Low
CL00077,"All matters relating to this Agreement, the rights of the Parties hereunder and the construction of the terms hereof shall be governed by the laws of the State of California, without regard to conflicts of laws principles. (Page 10)",Governing Law,Low
CL00078,"Anything herein to the contrary notwithstanding, Company shall not have the right to distribute photographs of Manning which are larger than 5"" x 7"". (Page 1)",Payment,Low
CL00079,"VerticalNet agrees that during the term of this Agreement, it shall not enter into an agreement with Futurestep, Inc. to provide promotional opportunities to Futurestep throughout all of the VerticalNet Online Communities, nor enter into any agreement with Futurestep, Inc. for the joint marketing of each other's Sites or services. (Page 8)",Non-Compete & Exclusivity,Medium
CL00080,"12. This Agreement represents the entire understanding and agreement of the parties hereto and may be modified only by a separate written agreement executed by you and the Company expressly modifying this Agreement. This Agreement supersedes and cancels any and all prior agreements between the parties hereto, express or implied, relating to the Transaction; provided that the Mutual Non-Disclosure Agreement dated as of November 13, 2009 between the parties hereto shall remain in full force and effect with respect to the matters contemplated thereby.",Confidentiality,Low
CL00081,"BOSCH hereby grants CLIENT the ""Exclusive Distribution License Rights"" sell and distribute the Products within the ""Territory"". (Page 1)",Intellectual Property,Medium
CL00082,"1. CONFIDENTIAL INFORMATION. 1.1 ""Confidential Information"" shall mean: (a) All information disclosed by FormFactor to Recipient whether such information is disclosed in written, graphic, electronic, oral or sample form; and (b) All component specifications, component and contact structures, equipment designs, electronic configurations, manufacturing processes and methodologies, including any information which can be obtained by examination, testing, repair, reverse engineering and analysis of any hardware, or component part thereof comprising, relating to, or a part of a product manufactured or assembled with FormFactor's technology, notwithstanding the fact that the requirements for marking and designation referred to in Paragraph 2.1 have not been fulfilled.",Confidentiality,Low
CL00084,"Kitov hereby grants to Dexcel a fully paid, limited license right to use all of its Confidential Information and Intellectual Property Rights (including, inter alia, the Kitov Foreground IP, Kitov Data, Kitov’s share of the Joint IP, and the Trademark (“Kitov Product IP”)) necessary in order for Dexcel to manufacture, Label, package with the Livery, test and release the Product for shipment, exclusively for Kitov, for and during the Term. (Page 4) Kitov hereby grants to Dexcel a fully paid, limited, non exclusive, license to use Kitov Data in as much as required for the provision of the Services by Dexcel. (Page 19)",Intellectual Property,Medium
CL00085,"The CAP for Licensed Technology shall be cumulative across all ""Supported Processors"" (including ""additional supported processors"") utilized by LICENSEE. (Page 2) There shall be fewer than 1 talkoff in 5 hours of voice when the detector is programmed with the recommended parameters. (Page 18) Assuming that each voice call is has an average of 2 seconds of voice, there shall be fewer than 1 talkoff in 9000 calls. (Page 18)",Payment,Low
CL00086,"Licensor hereby grants to Licensee an exclusive in the Territory to (1) make Sublicense Copies and copies of the Documentation to meet the demand of Redistributors and Customers and (2) market and sublicense Sublicense Copies and copies of the Documentation, together with any copies of promotional and other materials which Licensor may produce or obtain from time to time to assist Licensee in marketing and sublicensing the Licensed Products during the term of this Agreement by any one or more of the following means: (a) TO A REDISTRIBUTOR: To a Redistributor pursuant to a Redistributor Agreement containing substantially the same terms and conditions as are set forth in this Agreement (subject to Section 2.5) and a Sublicense with each Customer of Redistributor in accordance with subsection 2.2(b); or (b) TO CUSTOMERS: Pursuant to a Sublicense signed by the Customer. (Page 2)",Non-Compete & Exclusivity,Medium
